Pasture,Date,Plot,Reading #,High,Low,Spp,G_B,Screen1,Reading_No,Adj_Low,Week,Biomass_lbs_ac,V_E_F,G_UG,PastureNm,Comments,Year,bm,Id
20NW,2014-05-27,P1,16.0,11.0,2.0,STCO,g,0.0,,,,,,,,,2014,560.8,20NW_P1
20NW,2014-05-27,P1,17.0,16.0,4.0,PASM,g,0.0,,,,,,,,,2014,946.4999999999999,20NW_P1
20NW,2014-05-27,P1,18.0,29.0,8.0,STCO,b,0.0,,,,,,,,,2014,1789.0,20NW_P1
20NW,2014-05-27,P1,19.0,14.0,5.0,PASM,g,0.0,,,,,,,,,2014,1032.7,20NW_P1
20NW,2014-05-27,P1,20.0,17.0,3.0,STCO,g,0.0,,,,,,,,,2014,836.5999999999999,20NW_P1
20NW,2014-05-27,P1,21.0,9.0,2.0,BOGR,g,0.0,,,,,,,,,2014,513.4,20NW_P1
20NW,2014-05-27,P1,22.0,9.0,3.0,BOGR,g,0.0,,,,,,,,,2014,646.9999999999999,20NW_P1
20NW,2014-05-27,P1,23.0,11.0,2.0,CAEL,g,0.0,,,,,,,,,2014,560.8,20NW_P1
20NW,2014-05-27,P1,24.0,9.0,2.0,BOGR,g,0.0,,,,,,,,,2014,513.4,20NW_P1
20NW,2014-05-27,P1,25.0,12.0,2.0,BOGR,g,0.0,,,,,,,,,2014,584.4999999999999,20NW_P1
20NW,2014-05-27,P2,1.0,5.0,1.0,BOGR,g,0.0,,,,,,,,,2014,285.0,20NW_P2
20NW,2014-05-27,P2,2.0,16.0,4.0,VUOC,b,1.0,,,,,,,,,2014,946.4999999999999,20NW_P2
20NW,2014-05-27,P2,3.0,20.0,1.0,STCO,g,0.0,,,,,,,,,2014,640.5,20NW_P2
20NW,2014-05-27,P2,4.0,19.0,1.0,CRMI,g,0.0,,,,,,,,,2014,616.8,20NW_P2
20NW,2014-05-27,P2,5.0,15.0,3.0,VUOC,g,1.0,,,,,,,,,2014,789.1999999999999,20NW_P2
20NW,2014-05-27,P2,6.0,41.0,1.0,SPCR,b,0.0,,,,,,,,,2014,1138.2,20NW_P2
20NW,2014-05-27,P2,7.0,28.0,2.0,STCO,g,0.0,,,,,,,,,2014,963.6999999999999,20NW_P2
20NW,2014-05-27,P2,8.0,15.0,1.0,STCO,g,0.0,,,,,,,,,2014,522.0,20NW_P2
20NW,2014-05-27,P2,9.0,21.0,2.0,PASM,g,0.0,,,,,,,,,2014,797.8,20NW_P2
20NW,2014-05-27,P2,10.0,15.0,5.0,STCO,b,0.0,,,,,,,,,2014,1056.4,20NW_P2
20NW,2014-05-27,P2,11.0,12.0,3.0,BOGR,g,0.0,,,,,,,,,2014,718.0999999999999,20NW_P2
20NW,2014-05-27,P2,12.0,8.0,2.0,BOGR,g,0.0,,,,,,,,,2014,489.69999999999993,20NW_P2
20NW,2014-05-27,P2,13.0,29.0,7.0,STCO,g,0.0,,,,,,,,,2014,1655.4,20NW_P2
20NW,2014-05-27,P2,14.0,28.0,9.0,STCO,g,0.0,,,,,,,,,2014,1898.9,20NW_P2
20NW,2014-05-27,P2,15.0,9.0,1.0,CAEL,g,0.0,,,,,,,,,2014,379.79999999999995,20NW_P2
20NW,2014-05-27,P2,16.0,28.0,9.0,STCO,g,0.0,,,,,,,,,2014,1898.9,20NW_P2
20NW,2014-05-27,P2,17.0,38.0,1.0,STCO,b,0.0,,,,,,,,,2014,1067.1000000000001,20NW_P2
20NW,2014-05-27,P2,18.0,28.0,1.0,PASM,b,0.0,,,,,,,,,2014,830.1,20NW_P2
20NW,2014-05-27,P2,19.0,26.0,9.0,STCO,b,0.0,,,,,,,,,2014,1851.5,20NW_P2
20NW,2014-05-27,P2,20.0,19.0,9.0,STCO,g,0.0,,,,,,,,,2014,1685.6,20NW_P2
20NW,2014-05-27,P2,21.0,20.0,2.0,PASM,g,0.0,,,,,,,,,2014,774.1,20NW_P2
20NW,2014-05-27,P2,22.0,38.0,3.0,PASM,b,0.0,,,,,,,,,2014,1334.3000000000002,20NW_P2
20NW,2014-05-27,P2,23.0,11.0,2.0,STCO,g,0.0,,,,,,,,,2014,560.8,20NW_P2
20NW,2014-05-27,P2,24.0,15.0,1.0,SPCO,g,0.0,,,,,,,,,2014,522.0,20NW_P2
20NW,2014-05-27,P2,25.0,22.0,3.0,STCO,g,0.0,,,,,,,,,2014,955.0999999999999,20NW_P2
20NW,2014-05-27,P3,1.0,29.0,1.0,STCO,g,0.0,,,,,,,,,2014,853.8,20NW_P3
20NW,2014-05-27,P3,2.0,9.0,1.0,VUOC,g,1.0,,,,,,,,,2014,379.79999999999995,20NW_P3
20NW,2014-05-27,P3,3.0,22.0,2.0,BOGR,b,0.0,,,,,,,,,2014,821.4999999999999,20NW_P3
20NW,2014-05-27,P3,4.0,16.0,2.0,VUOC,b,1.0,,,,,,,,,2014,679.3,20NW_P3
20NW,2014-05-27,P3,5.0,11.0,4.0,BOGR,g,0.0,,,,,,,,,2014,827.9999999999999,20NW_P3
20NW,2014-05-27,P3,6.0,8.0,1.0,BOGR,b,0.0,,,,,,,,,2014,356.09999999999997,20NW_P3
20NW,2014-05-27,P3,7.0,24.0,3.0,STCO,b,0.0,,,,,,,,,2014,1002.4999999999999,20NW_P3
20NW,2014-05-27,P3,8.0,28.0,9.0,STCO,g,0.0,,,,,,,,,2014,1898.9,20NW_P3
20NW,2014-05-27,P3,9.0,25.0,1.0,STCO,b,0.0,,,,,,,,,2014,759.0,20NW_P3
20NW,2014-05-27,P3,10.0,19.0,5.0,STCO,g,0.0,,,,,,,,,2014,1151.2,20NW_P3
20NW,2014-05-27,P3,11.0,16.0,9.0,STCO,g,0.0,,,,,,,,,2014,1614.5,20NW_P3
20NW,2014-05-27,P3,12.0,29.0,3.0,STCO,g,0.0,,,,,,,,,2014,1121.0,20NW_P3
20NW,2014-05-27,P3,13.0,18.0,9.0,STCO,g,0.0,,,,,,,,,2014,1661.8999999999999,20NW_P3
20NW,2014-05-27,P3,14.0,11.0,2.0,VUOC,g,1.0,,,,,,,,,2014,560.8,20NW_P3
20NW,2014-05-27,P3,15.0,27.0,9.0,STCO,g,0.0,,,,,,,,,2014,1875.1999999999998,20NW_P3
20NW,2014-05-27,P3,16.0,13.0,2.0,BOGR,g,0.0,,,,,,,,,2014,608.1999999999999,20NW_P3
20NW,2014-05-27,P3,17.0,19.0,1.0,VUOC,g,1.0,,,,,,,,,2014,616.8,20NW_P3
20NW,2014-05-27,P3,18.0,15.0,3.0,BOGR,g,0.0,,,,,,,,,2014,789.1999999999999,20NW_P3
20NW,2014-05-27,P3,19.0,11.0,4.0,VUOC,g,1.0,,,,,,,,,2014,827.9999999999999,20NW_P3
20NW,2014-05-27,P3,20.0,29.0,3.0,STCO,g,0.0,,,,,,,,,2014,1121.0,20NW_P3
20NW,2014-05-27,P3,21.0,30.0,1.0,STCO,g,0.0,,,,,,,,,2014,877.5,20NW_P3
20NW,2014-05-27,P3,22.0,19.0,3.0,STCO,b,0.0,,,,,,,,,2014,883.9999999999999,20NW_P3
20NW,2014-05-27,P3,23.0,34.0,7.0,STCO,g,0.0,,,,,,,,,2014,1773.9,20NW_P3
20NW,2014-05-27,P3,24.0,20.0,1.0,BOGR,b,0.0,,,,,,,,,2014,640.5,20NW_P3
20NW,2014-05-27,P3,25.0,20.0,7.0,VUOC,b,1.0,,,,,,,,,2014,1442.1,20NW_P3
20NW,2014-05-27,P4,1.0,32.0,5.0,STCO,g,0.0,,,,,,,,,2014,1459.3000000000002,20NW_P4
20NW,2014-05-27,P4,2.0,15.0,3.0,STCO,g,0.0,,,,,,,,,2014,789.1999999999999,20NW_P4
20NW,2014-05-27,P4,3.0,24.0,7.0,STCO,g,0.0,,,,,,,,,2014,1536.9,20NW_P4
20NW,2014-05-27,P4,4.0,29.0,3.0,STCO,g,0.0,,,,,,,,,2014,1121.0,20NW_P4
20NW,2014-05-27,P4,5.0,15.0,1.0,BOGR,g,0.0,,,,,,,,,2014,522.0,20NW_P4
20NW,2014-05-27,P4,6.0,24.0,3.0,BOGR,g,0.0,,,,,,,,,2014,1002.4999999999999,20NW_P4
20NW,2014-05-27,P4,7.0,28.0,8.0,STCO,g,0.0,,,,,,,,,2014,1765.3000000000002,20NW_P4
20NW,2014-05-27,P4,8.0,29.0,5.0,VUOC,g,1.0,,,,,,,,,2014,1388.2,20NW_P4
20NW,2014-05-27,P4,9.0,34.0,6.0,STCO,g,0.0,,,,,,,,,2014,1640.3,20NW_P4
20NW,2014-05-27,P4,10.0,37.0,4.0,STCO,g,0.0,,,,,,,,,2014,1444.2,20NW_P4
20NW,2014-05-27,P4,11.0,31.0,9.0,STCO,g,0.0,,,,,,,,,2014,1970.0,20NW_P4
20NW,2014-05-27,P4,12.0,22.0,5.0,STCO,g,0.0,,,,,,,,,2014,1222.3000000000002,20NW_P4
20NW,2014-05-27,P4,13.0,26.0,3.0,STCO,g,0.0,,,,,,,,,2014,1049.8999999999999,20NW_P4
20NW,2014-05-27,P4,14.0,22.0,2.0,ECVI,g,0.0,,,,,,,,,2014,821.4999999999999,20NW_P4
20NW,2014-05-27,P4,15.0,29.0,5.0,STCO,g,0.0,,,,,,,,,2014,1388.2,20NW_P4
20NW,2014-05-27,P4,16.0,18.0,4.0,STCO,g,0.0,,,,,,,,,2014,993.9,20NW_P4
20NW,2014-05-27,P4,17.0,15.0,2.0,STCO,g,0.0,,,,,,,,,2014,655.6,20NW_P4
20NW,2014-05-27,P4,18.0,19.0,2.0,ARLO,b,1.0,,,,,,,,,2014,750.4,20NW_P4
20NW,2014-05-27,P4,19.0,19.0,3.0,BOGR,g,0.0,,,,,,,,,2014,883.9999999999999,20NW_P4
20NW,2014-05-27,P4,20.0,29.0,4.0,STCO,g,0.0,,,,,,,,,2014,1254.6,20NW_P4
20NW,2014-05-27,P4,21.0,37.0,9.0,STCO,g,0.0,,,,,,,,,2014,2112.2,20NW_P4
20NW,2014-05-27,P4,22.0,18.0,8.0,STCO,g,0.0,,,,,,,,,2014,1528.3,20NW_P4
20NW,2014-05-27,P4,23.0,34.0,9.0,STCO,g,0.0,,,,,,,,,2014,2041.1,20NW_P4
20NW,2014-05-27,P4,24.0,22.0,6.0,STCO,g,0.0,,,,,,,,,2014,1355.9,20NW_P4
20NW,2014-05-27,P4,25.0,15.0,8.0,VUOC,g,1.0,,,,,,,,,2014,1457.2,20NW_P4
20NW,2014-05-30,P1,1.0,12.0,2.0,PASM,g,0.0,,,,,,,,,2014,584.4999999999999,20NW_P1
20NW,2014-05-30,P1,2.0,4.0,1.0,BOGR,g,0.0,,,,,,,,,2014,261.29999999999995,20NW_P1
20NW,2014-05-30,P1,3.0,21.0,3.0,STCO,g,0.0,,,,,,,,,2014,931.4,20NW_P1
20NW,2014-05-30,P1,4.0,20.0,2.0,BOGR,g,0.0,,,,,,,,,2014,774.1,20NW_P1
20NW,2014-05-30,P1,5.0,7.0,1.0,BOGR,g,0.0,,,,,,,,,2014,332.4,20NW_P1
20NW,2014-05-30,P1,6.0,12.0,2.0,STCO,g,0.0,,,,,,,,,2014,584.4999999999999,20NW_P1
20NW,2014-05-30,P1,7.0,8.0,1.0,BOGR,g,0.0,,,,,,,,,2014,356.09999999999997,20NW_P1
20NW,2014-05-30,P1,8.0,11.0,2.0,BOGR,g,0.0,,,,,,,,,2014,560.8,20NW_P1
20NW,2014-05-30,P1,9.0,10.0,3.0,PASM,g,0.0,,,,,,,,,2014,670.6999999999999,20NW_P1
20NW,2014-05-30,P1,10.0,13.0,1.0,STCO,g,0.0,,,,,,,,,2014,474.5999999999999,20NW_P1
20NW,2014-05-30,P1,11.0,24.0,5.0,STCO,g,0.0,,,,,,,,,2014,1269.7,20NW_P1
20NW,2014-05-30,P1,12.0,24.0,8.0,STCO,g,0.0,,,,,,,,,2014,1670.5,20NW_P1
20NW,2014-05-30,P1,13.0,32.0,3.0,PASM,g,0.0,,,,,,,,,2014,1192.1,20NW_P1
20NW,2014-05-30,P1,14.0,11.0,3.0,BOGR,g,0.0,,,,,,,,,2014,694.4,20NW_P1
20NW,2014-05-30,P1,16.0,11.0,2.0,PASM,g,0.0,,,,,,,,,2014,560.8,20NW_P1
20NW,2014-05-30,P1,17.0,12.0,2.0,PASM,g,0.0,,,,,,,,,2014,584.4999999999999,20NW_P1
20NW,2014-05-30,P1,18.0,16.0,1.0,PASM,g,0.0,,,,,,,,,2014,545.6999999999999,20NW_P1
20NW,2014-05-30,P1,19.0,11.0,2.0,PASM,g,0.0,,,,,,,,,2014,560.8,20NW_P1
20NW,2014-05-30,P1,20.0,31.0,5.0,STCO,g,0.0,,,,,,,,,2014,1435.6,20NW_P1
20NW,2014-05-30,P1,21.0,9.0,3.0,BOGR,g,0.0,,,,,,,,,2014,646.9999999999999,20NW_P1
20NW,2014-05-30,P1,22.0,8.0,3.0,CAEL,g,0.0,,,,,,,,,2014,623.3,20NW_P1
20NW,2014-05-30,P1,23.0,8.0,3.0,BOGR,g,0.0,,,,,,,,,2014,623.3,20NW_P1
20NW,2014-05-30,P1,24.0,18.0,1.0,BOGR,g,0.0,,,,,,,,,2014,593.0999999999999,20NW_P1
20NW,2014-05-30,P1,25.0,6.0,3.0,BOGR,g,0.0,,,,,,,,,2014,575.9,20NW_P1
20NW,2014-05-30,P2,1.0,14.0,1.0,BOGR,g,0.0,,,,,,,,,2014,498.29999999999995,20NW_P2
20NW,2014-05-30,P2,2.0,30.0,1.0,BOGR,g,0.0,,,,,,,,,2014,877.5,20NW_P2
20NW,2014-05-30,P2,3.0,34.0,7.0,STCO,g,0.0,,,,,,,,,2014,1773.9,20NW_P2
20NW,2014-05-30,P2,4.0,34.0,6.0,STCO,g,0.0,,,,,,,,,2014,1640.3,20NW_P2
20NW,2014-05-30,P2,5.0,30.0,6.0,STCO,g,0.0,,,,,,,,,2014,1545.5,20NW_P2
20NW,2014-05-30,P2,6.0,6.0,3.0,STCO,g,0.0,,,,,,,,,2014,575.9,20NW_P2
20NW,2014-05-30,P2,7.0,32.0,4.0,STCO,g,0.0,,,,,,,,,2014,1325.7,20NW_P2
20NW,2014-05-30,P2,8.0,15.0,1.0,SPCR,g,0.0,,,,,,,,,2014,522.0,20NW_P2
20NW,2014-05-30,P2,9.0,26.0,3.0,STCO,g,0.0,,,,,,,,,2014,1049.8999999999999,20NW_P2
20NW,2014-05-30,P2,10.0,30.0,5.0,STCO,g,0.0,,,,,,,,,2014,1411.9,20NW_P2
